2023-10-23 10:26:23,078 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,114 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217830 SVID 33 ---
2023-10-23 10:26:23,114 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,116 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217830 SVID 26 ---
2023-10-23 10:26:23,116 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,117 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217830 SVID 24 ---
2023-10-23 10:26:23,118 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,163 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217860 SVID 33 ---
2023-10-23 10:26:23,163 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,164 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217860 SVID 26 ---
2023-10-23 10:26:23,165 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,166 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217860 SVID 24 ---
2023-10-23 10:26:23,166 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,207 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217890 SVID 33 ---
2023-10-23 10:26:23,208 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,209 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217890 SVID 26 ---
2023-10-23 10:26:23,210 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,211 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217890 SVID 24 ---
2023-10-23 10:26:23,211 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,244 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217920 SVID 33 ---
2023-10-23 10:26:23,244 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,247 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217920 SVID 26 ---
2023-10-23 10:26:23,247 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,248 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217920 SVID 24 ---
2023-10-23 10:26:23,249 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,286 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217950 SVID 33 ---
2023-10-23 10:26:23,287 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,290 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217950 SVID 26 ---
2023-10-23 10:26:23,291 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,293 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217950 SVID 24 ---
2023-10-23 10:26:23,295 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,330 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217980 SVID 33 ---
2023-10-23 10:26:23,331 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,333 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217980 SVID 26 ---
2023-10-23 10:26:23,333 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,336 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217980 SVID 24 ---
2023-10-23 10:26:23,337 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,375 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 218010 SVID 31 ---
2023-10-23 10:26:23,375 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,375 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 218010 SVID 26 ---
2023-10-23 10:26:23,375 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,375 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 218010 SVID 24 ---
2023-10-23 10:26:23,375 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,417 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 218040 SVID 31 ---
2023-10-23 10:26:23,417 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,418 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 218040 SVID 26 ---
2023-10-23 10:26:23,420 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,426 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 218100 SVID 31 ---
2023-10-23 10:26:23,427 | osnma.receiver.receiver             | INFO     | No OSNMA data.
