2023-10-23 10:27:25,790 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,802 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217380 SVID 24 ---
2023-10-23 10:27:25,803 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,804 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217380 SVID 31 ---
2023-10-23 10:27:25,804 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,805 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217380 SVID 25 ---
2023-10-23 10:27:25,806 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,822 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217410 SVID 24 ---
2023-10-23 10:27:25,822 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,823 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217410 SVID 31 ---
2023-10-23 10:27:25,824 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,839 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217590 SVID 24 ---
2023-10-23 10:27:25,840 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,841 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217590 SVID 31 ---
2023-10-23 10:27:25,841 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,843 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217590 SVID 25 ---
2023-10-23 10:27:25,845 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,848 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217590 SVID 12 ---
2023-10-23 10:27:25,848 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,865 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217620 SVID 24 ---
2023-10-23 10:27:25,866 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,868 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217620 SVID 31 ---
2023-10-23 10:27:25,868 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,885 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217650 SVID 24 ---
2023-10-23 10:27:25,886 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,887 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217650 SVID 31 ---
2023-10-23 10:27:25,887 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,902 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217680 SVID 24 ---
